product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7860154925121,gid://shopify/ProductVariant/43706136985665,2026 Topps MLB x NBA Official Collector Kit Box,,ACTIVE,Sealed Wax,Default Title,TOPPS_2026_COL_MLB_NBA_KIT,887521163427,59.99,,49.88,-3,0,0,0
gid://shopify/Product/7860167999553,gid://shopify/ProductVariant/43706152255553,2025 Topps Disneyland 70th Anniversary Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521151677,154.99,,126,0,0,0,0
gid://shopify/Product/7860674363457,gid://shopify/ProductVariant/43707118682177,Pokemon Silver Tempest Booster Pack,,ACTIVE,Booster Pack,Default Title,,0820650850912,18.99,,12.3,-56,0,0,0
gid://shopify/Product/7860677279809,gid://shopify/ProductVariant/43707129593921,2026 Topps Series 1 Baseball Celebration Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521155071,59.99,,56,-25,0,0,0
gid://shopify/Product/7863695474753,gid://shopify/ProductVariant/43713089077313,Pokemon Perfect Order Booster Pack,,ACTIVE,Booster Box,Default Title,,0196214150454,8.99,,8.66,-54,0,0,0
gid://shopify/Product/7863755440193,gid://shopify/ProductVariant/43713172897857,2025 Topps Universe WWE Blaster,,ACTIVE,Sealed Wax,Default Title,,887521143832,39.99,,29,-9,0,0,0
gid://shopify/Product/7863768481857,gid://shopify/ProductVariant/43713188102209,2026 Leaf Metal Pop Century Hobby Box,,ACTIVE,Sealed Wax,Default Title,,819110016524,319.99,,275,9,0,0,0
gid://shopify/Product/7863777263681,gid://shopify/ProductVariant/43713197113409,2025-26 Topps Chrome Bundesliga Hobby Box,,ACTIVE,Sealed Wax,Default Title,,88752115380,274.99,,190,1,0,0,0
gid://shopify/Product/7888081485889,gid://shopify/ProductVariant/43791493201985,2025 Panini Select WNBA Basketball Hobby Box,,DRAFT,Sealed Wax,Default Title,746134190582,746134190582,774.95,,,1,0,0,0
gid://shopify/Product/7888082108481,gid://shopify/ProductVariant/43791496380481,2026 Topps Chrome WWE Hobby Box,,ACTIVE,Sealed Wax,Default Title,15208,887521152087,374.99,,335,4,0,0,0
gid://shopify/Product/7888082829377,gid://shopify/ProductVariant/43791499919425,Pokemon Ascended Heroes Booster Bundle,,ACTIVE,Booster Pack,Default Title,,196214141506,97.49,,78.5,28,0,0,0
gid://shopify/Product/7888083550273,gid://shopify/ProductVariant/43791502508097,2025 Upper Deck Fleer Ultra Superman Hobby Box,,ACTIVE,Sealed Wax,Default Title,,053334044240,179.99,,145,2,0,0,0
gid://shopify/Product/7888089186369,gid://shopify/ProductVariant/43791524134977,2025-26 Upper Deck Skybox Metal Universe Hockey Hobby Box,,ACTIVE,Sealed Wax,Default Title,,053334200196,164.99,,95.75,3,0,0,0
gid://shopify/Product/7888092758081,gid://shopify/ProductVariant/43791538683969,Pokemon Rebel Clash Booster Unlimited,,ACTIVE,Booster Box,Default Title,,820650816819,599.99,,495,1,0,0,0
gid://shopify/Product/7889976918081,gid://shopify/ProductVariant/43801006899265,2025 Topps Chrome Football Hobby Hanger,,ACTIVE,Sealed Wax,Default Title,,887521156894,39.99,,39,0,0,0,0
gid://shopify/Product/7895467753537,gid://shopify/ProductVariant/43886787952705,2026 Panini Donruss Racing Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134195792,84.99,,68.5,17,0,0,0
gid://shopify/Product/7896535498817,gid://shopify/ProductVariant/43910737461313,Pokemon Cynthia's Garchomp ex Premium Collection,,ACTIVE,Booster Pack,Default Title,,196214109247,64.99,,52.89,13,0,0,0
gid://shopify/Product/7896537169985,gid://shopify/ProductVariant/43910742343745,Pokemon Mabosstiff ex Box,,ACTIVE,Booster Pack,Default Title,,820650855900,34.99,,27.74,2,0,0,0
gid://shopify/Product/7896538611777,gid://shopify/ProductVariant/43910745751617,Mega Lucario ex Premium Figure Collection,,ACTIVE,Booster Pack,Default Title,,196214134553,49.99,,42.25,0,0,0,0
gid://shopify/Product/7897478758465,gid://shopify/ProductVariant/43915870830657,2026 Topps Chrome UFC Blaster Box,,ACTIVE,Sealed Wax,Default Title,,887521153695,29.99,,19.5,38,0,0,0
gid://shopify/Product/7897970802753,gid://shopify/ProductVariant/43917773242433,2026 Topps Chrome UFC Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521153749,79.99,,60,20,0,0,0
gid://shopify/Product/7897970999361,gid://shopify/ProductVariant/43917774815297,2026 Topps Chrome UFC Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521153596,209.99,,177,7,0,0,0
gid://shopify/Product/7898764476481,gid://shopify/ProductVariant/43923000328257,2025 Topps Chrome Football Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521156832,89.99,,75,-5,0,0,0
gid://shopify/Product/7898765983809,gid://shopify/ProductVariant/43923051053121,2025 Upper Deck Fleer Ultra Superman Blaster,,ACTIVE,Sealed Wax,Default Title,,053334044271,29.99,,22.25,5,0,0,0
gid://shopify/Product/7888081289281,gid://shopify/ProductVariant/43791493005377,2025-26 Topps Finest English Premier League EPL Hobby Box,,DRAFT,Sealed Wax,Default Title,5053307076488,5053307076488,569.95,,,1,0,0,0
gid://shopify/Product/7888081256513,gid://shopify/ProductVariant/43791492972609,2025-26 Bowman Basketball Jumbo Box,,DRAFT,Sealed Wax,Default Title,887521155446,887521155446,1188.95,,,0,0,0,0
gid://shopify/Product/7888081322049,gid://shopify/ProductVariant/43791493038145,2026 Topps Graphite Tennis Hobby Box,,ACTIVE,Sealed Wax,Default Title,887521153916,887521153916,349.99,,260,12,0,0,0
gid://shopify/Product/7888081354817,gid://shopify/ProductVariant/43791493070913,2025-26 Panini Select Serie A Soccer Hobby Box,,ACTIVE,Sealed Wax,Default Title,746134193477,746134193477,274.99,,218,1,0,0,0
gid://shopify/Product/7888081420353,gid://shopify/ProductVariant/43791493136449,2025-26 Panini Prizm FIFA Soccer Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134178849,499.99,,190,12,0,0,0
gid://shopify/Product/7888081387585,gid://shopify/ProductVariant/43791493103681,2026 Panini Donruss Racing Hobby Box,,DRAFT,Sealed Wax,Default Title,746134195792,746134195792,89.95,,,0,0,0,0
gid://shopify/Product/7888081453121,gid://shopify/ProductVariant/43791493169217,2025-26 Bowman Basketball Blaster Box,,ACTIVE,Sealed Wax,Default Title,,887521155538,44.99,,19.5,-13,0,0,0
